,Make,Model,Year,Drive,Trans,Accel (0-60) (s),Quarter Mile Time (s),Quarter Mile Speed (mph)
1,Acura,ILX,2013,FWD,6M,6.4,14.9,94.1
2,Acura,MDX,2017,AWD,7A,5.7,14.5,97
3,Acura,NSX,2017,AWD,9A,3.1,11.2,124.3
4,Acura,RDX,2013,AWD,6A,6.2,14.8,95.1
5,Acura,RLX,2014,FWD,6A,5.8,14.3,97.8
6,Acura,TL,2010,AWD,6M,5.2,13.7,102.3
7,Acura,TLX,2015,FWD,9A,5.7,14.2,103
8,Alfa Romeo,4C,2015,RWD,6A,4.1,12.8,104.8
9,Alfa Romeo,Giulia,2017,RWD,8A,3.6,11.9,121
10,Alfa Romeo,Stelvio,2018,AWD,8A,5.4,14,97.3
11,Ariel,Atom,2009,RWD,6M,2.9,11.2,125
12,Aston Martin,DB11,2017,RWD,8A,3.6,11.7,125
13,Aston Martin,DB4,1963,RWD,4M,6.8,15.4,94
14,Aston Martin,DB7,2001,RWD,6M,4.8,12.9,113
15,Aston Martin,DB9,2013,RWD,6A,4.1,12.4,115.7
16,Aston Martin,DBS,2009,RWD,6M,4.2,12.4,117.7
17,Aston Martin,Lagonda,1982,RWD,3A,8.9,16.9,85.5
18,Aston Martin,Rapide S,2014,RWD,6A,4.5,12.9,111.2
19,Aston Martin,V8,1987,RWD,5M,7.8,15.9,92
20,Aston Martin,Vanquish,2015,RWD,8A,3.6,11.9,121
21,Aston Martin,Vantage,2015,RWD,7A,3.9,12.1,120.5
22,Aston Martin,Virage,2012,RWD,6A,4.2,12.6,112.7
23,Audi,A3,2015,AWD,6A,5.4,14,98.6
24,Audi,A4,2017,AWD,7A,5,13.7,100.4
25,Audi,A4 Allroad,2017,AWD,7A,5.2,13.8,100
26,Audi,A5,2018,AWD,7A,5,13.6,101
27,Audi,A6,2016,AWD,8A,4.4,13,107
28,Audi,A7,2012,AWD,8A,4.6,13.2,104.2
29,Audi,A8,2013,AWD,8A,3.9,12.4,112
30,Audi,Q3,2016,AWD,6A,7.7,16.1,89
31,Audi,Q5,2013,AWD,8A,5.5,14.1,96.5
32,Audi,Q7,2017,AWD,8A,5.4,14,100.2
33,Audi,R8,2017,AWD,7A,2.6,10.6,129.8
34,Audi,RS3,2017,AWD,7A,3.5,11.9,117
35,Audi,RS5,2014,AWD,7A,3.9,12.3,112.2
